"record_id","countrynum","statenum","route","routename","active","latitude","longitude","stratum","bcr","landtypeid","routetypeid","routetypedetailid"
105,840,2,752,"SPROTT-CAHABA RIV",1,-32.6683647,-87.2422029,4,27,0,2,1
106,840,2,753,"GAINESTOWN FERRY",1,-31.3769106,-87.7232990,4,27,0,2,1
107,840,2,754,"Chacaloochee Bay",1,-30.6884440,-87.9693780,4,27,0,2,1
108,840,2,900,"ELKMONT",0,-34.9500000,-87.1500000,14,24,0,1,3
109,840,2,901,"TRACE CHEROKEE",1,-34.6640490,-88.0898570,4,27,0,1,3
110,840,3,1,"EAGLE",1,-64.5527960,-141.2785932,25,4,0,1,1
111,840,3,2,"CIRCLE",1,-65.7907167,-144.0890949,25,4,0,1,1
112,840,3,3,"CHATANIKA R",1,-65.2698047,-146.7275080,25,4,0,1,1
113,840,3,4,"BIRCH LAKE",1,-64.2556227,-146.0769649,25,4,0,1,1
114,840,3,5,"LIVENGOOD",1,-65.5631957,-148.4178320,25,4,0,1,1
115,840,3,6,"NEBESNA",0,-62.5131787,-143.1732939,68,4,0,1,1
116,840,3,7,"SLANA",1,-62.7247807,-143.8893879,68,4,0,1,1
117,840,3,8,"TOWER BLUFFS",1,-63.6152141,-143.9862892,25,4,0,1,1
118,840,3,9,"CHISTOCHINA",1,-62.4798162,-144.8285530,68,4,0,1,1
119,840,3,10,"NORTHWAY",1,-63.0127307,-141.8052529,25,4,0,1,1
120,840,3,11,"MACLAREN",1,-63.0531897,-146.0607299,68,4,0,1,1
121,840,3,12,"MONAHAN",1,-63.2771884,-147.9444270,68,4,0,1,1
122,840,3,13,"CANTWELL",1,-63.3793062,-148.8600000,68,4,0,1,1
123,840,3,15,"TOKLAT",1,-63.5152626,-150.0484937,68,4,0,1,1
124,840,3,16,"SEWARD",0,-60.1279267,-149.4343410,96,5,0,1,1
125,840,3,17,"GOOSE BAY",0,-61.4001137,-149.8425610,96,4,0,1,1
126,840,3,18,"SKILAK LAKE",0,-60.4588347,-150.2746280,96,4,0,1,1
127,840,3,19,"HOMER",0,-59.5666667,-151.3333333,96,4,0,1,1
128,840,3,20,"JUNEAU ALT",0,-58.2513877,-134.6277769,94,5,0,1,1
129,840,3,21,"JUNEAU",1,-58.4423687,-134.7660128,94,5,0,1,1
130,840,3,23,"CRAIG",1,-55.5557449,-133.0848056,94,5,0,1,1
131,840,3,24,"KETCHIKAN",1,-55.3269454,-131.5213101,94,5,0,1,1
132,840,3,25,"HAINES",1,-59.3363717,-135.5684509,94,5,0,1,1
133,840,3,26,"BEAVER CREEK",0,-55.6333333,-132.7500000,94,5,0,1,1
134,840,3,28,"KALIFONSKY",1,-60.2959485,-151.2763427,96,4,0,1,1
135,840,3,29,"MATANUSKA",0,-61.7327327,-148.7524720,96,4,0,1,1
136,840,3,30,"WILLOW",1,-61.6593477,-150.1403586,96,4,0,1,1
137,840,3,31,"KODIAK",0,-57.8166195,-152.6228043,96,2,0,1,1
138,840,3,40,"CHENA RIVER",0,-64.9459157,-146.2509150,25,4,0,1,1
139,840,3,41,"L SALCHA",1,-64.5464143,-146.9948586,25,4,0,1,1
140,840,3,42,"CHENA HOT SP",0,-64.8922107,-147.5414110,25,4,0,1,1
141,840,3,50,"CORDOVA",1,-60.4971524,-145.8702080,96,5,0,1,1
142,840,3,51,"THOMPSON PAS",1,-61.0587623,-145.9169019,68,5,0,1,1
143,840,3,52,"KENNY LAKE",1,-61.7342231,-144.9583298,68,4,0,1,1
144,840,3,53,"SHEEP MTN",1,-61.9372560,-147.1759823,68,5,0,1,1
145,840,3,54,"SOURDOUGH",1,-62.3624206,-145.3725998,68,4,0,1,1
146,840,3,55,"TONSINA",1,-61.6605217,-145.1834259,68,4,0,1,1
147,840,3,60,"KATMAI N.P.",1,-58.5472473,-155.7906521,25,2,0,1,1
148,840,3,84,"BEAR CREEK",0,-64.5000000,-157.0000000,25,4,0,1,1
149,840,3,90,"ADAK",1,-51.8267727,-176.6358200,99,1,0,1,1
150,840,3,101,"CHICKEN",1,-64.1668176,-141.4111936,25,4,0,1,1
151,840,3,112,"GLENALLEN",0,-62.0285997,-145.3989869,68,4,0,1,1
152,840,3,113,"CHULITNA",0,-62.7457057,-150.1218420,68,4,0,1,1
153,840,3,115,"SAVAGE",1,-63.7379551,-149.2910681,68,4,0,1,1
154,840,3,116,"MOOSE PASS",0,-60.5022017,-149.3709880,96,5,0,1,1
155,840,3,117,"HATCHER PASS",1,-61.5869700,-149.4276000,96,5,0,1,1
156,840,3,118,"SWAN LAKE RD",1,-60.5957398,-150.7868883,96,4,0,1,1
157,840,3,119,"ANCHOR RIVER",1,-59.7967661,-151.7956533,96,5,0,1,1
158,840,3,121,"PETERSBURG",0,-56.8076137,-132.9127349,94,5,0,1,1
159,840,3,122,"SITKA",1,-57.0173668,-135.1551062,94,5,0,1,1
160,840,3,123,"THORNE BAY",0,-55.6882340,-132.6257000,94,5,0,1,1
161,840,3,124,"ZIMOVIA STRT",0,-56.4698397,-132.3749999,94,5,0,1,1
162,840,3,125,"YAKUTAT",1,-59.4439512,-139.5646039,94,5,0,1,1
163,840,3,131,"CHINIAK",1,-57.5333333,-152.4500000,96,2,0,1,1
164,840,3,142,"CHENA HOT SPRING 2",1,-65.0544087,-146.0599662,25,4,0,1,1
165,840,3,180,"DILLINGHAM",1,-59.0346173,-158.5270562,25,2,0,1,1
166,840,3,191,"COLD BAY",1,-55.2694190,-162.8976207,99,2,0,1,1
167,840,3,192,"KING SALMON",1,-58.6704647,-156.4585984,25,2,0,1,1
168,840,3,212,"LAKE LOUISE",1,-62.2317426,-146.5156380,68,4,0,1,1
169,840,3,213,"SU BRIDGE",0,-62.3970477,-150.2629230,68,4,0,1,1
170,840,3,216,"HOPE",1,-60.7796745,-149.5527653,96,5,0,1,1
171,840,3,217,"WASILLA",0,-61.6306207,-149.8300790,96,4,0,1,1
172,840,3,218,"COHOE",1,-60.3668387,-151.3719470,96,4,0,1,1
173,840,3,219,"SELDOVIA",0,-59.4466527,-151.4864670,96,4,0,1,1
174,840,3,221,"MITKOF ISLE",1,-56.7395445,-132.7658694,94,5,0,1,1
175,840,3,223,"THORNE BAY 2",1,-55.8442630,-132.5433400,94,5,0,1,1
176,840,3,224,"ZIMOVIA STRT",1,-56.4599307,-132.3798899,94,5,0,1,1
177,840,3,231,"Kodiak 2",1,-57.8128265,-152.6177000,96,2,0,1,1
178,840,3,284,"NICHOLAI SL",1,-64.7706568,-157.0287273,25,4,0,2,1
179,840,3,313,"PETERSVILLE",1,-62.3172987,-150.2366378,68,4,0,1,1
180,840,3,318,"SEVEN LAKES",1,-60.5259627,-150.5656383,96,4,0,1,1
181,840,3,319,"KACHEMAK",1,-59.6464107,-151.5606980,96,4,0,1,1
182,840,3,321,"HARLEQUIN L.",1,-59.4178465,-139.0217497,94,5,0,1,1
183,840,3,372,"DIETRICH CMP",1,-67.6695397,-149.7149200,99,3,0,1,1
184,840,3,401,"BURMA ROAD",1,-61.4001417,-149.8424370,96,4,0,1,1
185,840,3,402,"CAPE NOME",1,-64.4875219,-165.3122783,99,2,0,1,1
186,840,3,403,"CARIBOU MTN.",1,-66.4417734,-150.6324337,99,4,0,1,1
187,840,3,404,"COLDFOOT",1,-67.0166107,-150.2901100,99,3,0,1,1
188,840,3,405,"COUNCIL",1,-64.5451414,-164.4368625,99,2,0,1,1
189,840,3,406,"DONELLY DOME",1,-64.0157146,-145.7282965,25,4,0,1,1
190,840,3,407,"UNALAKLEET RIVER",1,-64.0145247,-159.8094470,25,4,0,2,1
191,840,3,408,"GALBRAITH L.",1,-68.4265923,-149.3473217,99,3,0,1,1
192,840,3,409,"HAPPY VALLEY",1,-68.8572136,-148.8351789,99,3,0,1,1
193,840,3,410,"HATHER CREEK",1,-63.5963002,-158.0780083,25,4,0,2,1
194,840,3,411,"HOONAH",1,-57.9218687,-135.0455629,94,5,0,1,1
195,840,3,412,"WHALE PASS",1,-56.2075277,-133.0775149,94,5,0,1,1
196,840,3,413,"TANGLE LAKES",0,-63.0461337,-146.0316309,68,4,0,1,1
197,840,3,414,"KANUTI CANYN",1,-66.3335727,-152.9504467,25,4,11,2,1
198,840,3,415,"MCGRATH",1,-62.9510075,-155.5890429,25,4,0,1,1
199,840,3,416,"KOYUKUK RIV.",1,-66.5800037,-151.9421260,25,4,0,2,1
200,840,3,417,"COTTONWOOD",0,-61.5640897,-149.3503560,96,4,0,1,1
201,840,3,418,"MANLEY HT SP",1,-65.0076556,-150.6131749,25,4,0,1,1
202,840,3,419,"MOOSE CREEK",1,-65.4883997,-148.6547200,25,4,0,1,1
203,840,3,420,"MT. FAIRPLAY",1,-63.6093407,-142.3235417,25,4,0,1,1
204,840,3,421,"MUD RIVER",1,-63.5830470,-157.8441809,25,4,0,2,1
205,840,3,422,"NOME",1,-64.7776327,-165.9993285,99,2,0,1,1
206,840,3,423,"RUBY",1,-64.4609377,-155.5238960,25,4,0,1,1
207,840,3,424,"SALMON LAKE",1,-64.6158900,-165.3015102,99,2,0,1,1
208,840,3,425,"SKAGWAY",1,-59.5294227,-135.3507079,94,5,0,1,1
209,840,3,426,"ST. MARY\'S",1,-62.0526113,-163.1690916,99,2,0,1,1
210,840,3,427,"TELLER",1,-64.8314753,-166.0880717,99,2,0,1,1
211,840,3,428,"MURPHY DOME",1,-64.9122387,-147.9422770,25,4,0,1,1
212,840,3,429,"ZAREMBO",1,-56.3501108,-132.7665559,94,5,0,1,1
213,840,3,430,"PORCUPINE R.",1,-66.6919918,-144.7314019,25,4,0,2,1
214,840,3,431,"DELTA",1,-63.8562570,-145.7381802,25,4,0,1,1
215,840,3,432,"FT. RICHRDSN",1,-61.2964911,-149.7786148,96,4,0,1,1
216,840,3,433,"ANVIK RIVER",1,-62.9209173,-160.6919837,25,4,0,2,1
217,840,3,434,"TOGIAK RIVER",1,-59.5316820,-159.6936457,99,2,0,2,1
218,840,3,435,"CHICHAGOF IS",1,-57.8376397,-135.0598309,94,5,0,1,1
219,840,3,436,"GWEEK RIVER",1,-60.8732615,-161.6032109,99,2,0,2,1
220,840,3,437,"TUPUKNUK",1,-60.6947613,-161.6098199,99,2,0,2,1
221,840,3,438,"RED DOG",1,-67.8544008,-163.3028181,99,3,0,1,1
222,840,3,439,"HYDER",1,-55.9156605,-130.0162113,94,5,0,1,1
223,840,3,440,"TATALINA",1,-62.9117822,-155.6186013,25,4,0,1,1
224,840,3,442,"KANEKTOK RIV",1,-59.8562241,-160.6818422,99,2,0,2,1
225,840,3,444,"KOTZEBUE",1,-66.9018584,-162.5638810,99,2,0,1,1
226,840,3,445,"Kanuti Lake",1,-66.2372145,-152.1177445,25,4,11,2,1
227,840,3,760,"GOODNEWS BAY",1,-59.3271587,-161.0287160,25,2,0,2,1
228,840,3,811,"KOBUK RIVER (Short)",0,-67.1032427,-158.2747810,25,4,0,2,6
229,840,3,812,"PINOCHE TRAL (Short)",0,-61.9166667,-147.6666667,68,4,0,1,6
230,840,3,816,"KENAI LAKE (Short)",0,-60.3856237,-149.6883700,96,5,0,1,6
231,840,3,817,"ELMENDORF (Short)",0,-61.0000000,-149.0000000,96,5,0,1,6
232,840,3,821,"HARLEQUIN L (Short)",0,-59.4192119,-139.0259182,94,5,0,1,6
233,840,3,822,"SITKA (Short)",0,-57.1269767,-135.3478099,94,5,0,1,6
234,840,3,824,"WRANGELL (Short)",0,-56.0000000,-132.0000000,94,5,0,1,6
235,840,3,825,"YAKUTAT (Short)",0,-59.0000000,-139.0000000,94,5,0,1,6
236,840,3,832,"ALPENGLOW (Short)",0,-61.2560417,-149.5443560,96,5,0,1,6
237,840,3,850,"COPPER RIVER",0,-60.4652137,-145.3482303,96,5,0,1,1
238,840,3,851,"VALDEZ (Short)",0,-61.1264627,-146.3586440,96,5,0,1,6
239,840,3,880,"DILLINGHAM (Short)",0,-59.2727127,-158.6213540,25,2,0,1,6
240,840,3,881,"KUGARAK (Short)",0,-66.5989357,-159.1257000,25,2,0,1,6
241,840,3,882,"SELAWIK (Short)",0,-66.5554507,-159.0294360,25,2,0,1,6
242,840,3,883,"GALENA (Short)",1,-64.7399997,-156.9660000,25,4,0,1,6
243,840,3,884,"KOTZEBUE (Short)",0,-66.8910427,-162.5535730,99,2,0,1,6
244,840,3,891,"COLD BAY (Short)",0,-55.1689487,-162.7422930,99,2,0,1,6
245,840,3,892,"KING SALMON (Short)",0,-58.6712837,-156.4594270,99,2,0,1,6
246,840,3,901,"PAXSON LAKE",1,-63.0291587,-145.4974345,68,4,0,1,3
247,840,3,902,"NABESNA ROAD",1,-62.4422837,-143.0712119,68,4,0,1,3
248,840,3,903,"KUSKULANA",1,-61.5260959,-144.4072212,68,4,0,1,3
249,840,3,905,"MCCARTHY RD2",1,-61.4337187,-142.9452499,68,4,0,1,3
250,840,3,906,"STIKINE RIVER",1,-56.6468465,-131.8566825,94,5,0,2,3
251,840,3,907,"KUIU ISLAND",1,-56.7078365,-134.2423435,94,5,0,1,3
252,124,4,1,"SEVEN PERSON",1,-49.9322200,-110.8445200,38,11,0,1,1
253,124,4,2,"BOW ISLAND",1,-49.8732400,-111.4102000,38,11,0,1,1
254,124,4,3,"MILK RIVER",1,-49.0899500,-112.3969900,65,11,0,1,1
255,124,4,4,"FORT MACLEOD",1,-49.8150900,-113.5698200,38,11,0,1,1
256,124,4,5,"SENTINEL",0,-49.6325000,-114.5869200,64,10,0,1,1
257,124,4,6,"BINDLOSS",1,-50.7466800,-110.2586900,38,11,0,1,1
258,124,4,7,"BROOKS",0,-50.5638800,-111.8491600,38,11,0,1,1
259,124,4,8,"BOW CITY",0,-50.3027900,-112.0204100,38,11,0,1,1
260,124,4,9,"BUFFALO HILL",1,-50.6014700,-113.0285200,38,11,0,1,1
261,124,4,10,"HIGHWOOD RIV",1,-50.4805300,-114.4245600,30,10,0,1,1
262,124,4,11,"CEREAL",1,-51.0088700,-110.7956000,37,11,0,1,1
263,124,4,12,"BIG STONE",0,-51.3287500,-111.0782300,37,11,0,1,1
264,124,4,13,"ROWLEY",1,-51.7781800,-112.6469400,37,11,0,1,1
265,124,4,14,"KEOMA",0,-51.2126100,-113.7723400,30,11,0,1,1
266,124,4,15,"EAGLE HILL",1,-51.8314300,-114.4503900,30,6,0,1,1
267,124,4,16,"EXSHAW",0,-51.0952100,-115.0911100,64,10,0,1,1
268,124,4,17,"BOW PASS",1,-51.4602100,-116.2202300,64,10,0,1,1
269,124,4,18,"CZAR",1,-52.4630900,-110.6512700,30,11,0,1,1
270,124,4,19,"TALBOT",1,-52.2011100,-111.0763800,37,11,0,1,1
271,124,4,20,"HALKIRK",1,-52.1720800,-112.3386100,37,11,0,1,1
272,124,4,21,"DELBURNE",0,-52.2012600,-113.2275300,30,11,0,1,1
273,124,4,22,"RAVEN",1,-52.0279900,-114.4778200,30,6,0,1,1
274,124,4,23,"HARLECH",0,-52.4981400,-116.0001600,29,6,0,1,1
275,124,4,24,"WINDY POINT",1,-52.2587200,-116.3916800,29,10,0,1,1
276,124,4,25,"MALIGNE LAKE",1,-52.7314100,-117.6370900,64,10,0,1,1
277,124,4,26,"DERWENT",1,-53.4966600,-110.8664400,30,11,0,1,1
278,124,4,27,"TWO HILLS",1,-53.7155500,-111.5255600,30,11,0,1,1
279,124,4,28,"LINDBROOK",1,-53.3376900,-112.7820800,30,11,0,1,1
280,124,4,29,"CALAHOO",1,-53.6870100,-113.8854800,30,11,0,1,1
281,124,4,30,"WARBURG",1,-53.1638100,-114.2200800,30,6,0,1,1
282,124,4,31,"RONAN",1,-53.8027200,-115.2655100,29,6,0,1,1
283,124,4,32,"EDSON",1,-53.5991700,-116.4042500,29,6,0,1,1
284,124,4,33,"ENTRANCE",1,-53.3741000,-117.7106300,29,6,0,1,1
285,124,4,34,"HOFF",1,-53.8125400,-118.4834500,29,10,0,1,1
286,124,4,36,"KEHIWIN LAKE",1,-54.0577000,-110.8863000,30,6,0,1,1
287,124,4,37,"THERIEN",1,-54.2676300,-111.2782000,30,6,0,1,1
288,124,4,38,"KINIKINIK",1,-54.4999900,-112.9798600,29,6,0,1,1
289,124,4,39,"ATHABASCA",1,-54.8351300,-113.1581600,29,6,0,1,1
290,124,4,40,"THUNDER LAKE",1,-54.1203800,-114.7149100,29,6,0,1,1
291,124,4,41,"SWAN HILLS",0,-54.7602600,-115.5376400,29,6,0,1,1
292,124,4,42,"WINDFALL",1,-54.1331100,-116.2159200,30,6,0,1,1
293,124,4,43,"LITTLE SMOKY",1,-54.7660900,-117.2478200,30,6,0,1,1
294,124,4,44,"ECONOMY CRK",1,-54.7501100,-118.2262100,30,6,0,1,1
295,124,4,45,"WAPITI",0,-54.9378800,-119.1958300,30,6,0,1,1
296,124,4,46,"WINEFRED LAKE",1,-55.5542100,-110.9070800,29,6,0,1,1
297,124,4,47,"HEART LAKE",1,-55.0061300,-111.7319500,29,6,0,1,1
298,124,4,48,"WANDERING R",0,-55.3870500,-112.4537100,29,6,0,1,1
299,124,4,49,"CALLING LAKE",1,-55.4860000,-113.4400000,29,6,0,1,1
300,124,4,50,"MARTEN RIVER",1,-55.4990300,-114.9141600,29,6,0,1,1
301,124,4,51,"KINUSO",0,-55.2579700,-115.3853400,29,6,0,1,1
302,124,4,52,"HIGH PRAIRIE",0,-55.5528000,-116.7818400,29,6,0,1,1
303,124,4,53,"WATINO",1,-55.7814300,-117.8255500,29,6,0,1,1
304,124,4,54,"RYCROFT",1,-55.8402700,-118.4572200,29,6,0,1,1
305,124,4,55,"WEMBLEY",1,-55.1415000,-119.2177400,30,6,0,1,1
306,124,4,57,"HANGINGSTONE",0,-56.2334900,-111.6721200,29,6,0,1,1
307,124,4,61,"LOON RIVER",1,-56.2842400,-115.3641600,29,6,0,1,1
308,124,4,62,"THREE CREEKS",1,-56.3628000,-117.0033500,29,6,0,1,1
309,124,4,63,"CARDINAL LK",1,-56.2761100,-117.8211900,29,6,0,1,1
310,124,4,64,"HINES CREEK",1,-56.5084200,-118.7391200,29,6,0,1,1
311,124,4,65,"BEAR CANYON",1,-56.1949600,-119.8199000,29,6,0,1,1
312,124,4,73,"HOTCHKISS",1,-57.0681200,-117.6108900,29,6,0,1,1
313,124,4,77,"FORT SMITH",1,-59.9885700,-111.8384900,25,6,0,1,1
314,124,4,78,"PEACE POINT",1,-59.3110200,-112.4871600,29,6,0,1,1
315,124,4,79,"HAY CAMP",1,-59.8617500,-111.6148400,25,6,0,1,1
316,124,4,96,"KANANASKIS",1,-50.9854500,-115.0752600,64,10,0,1,1
317,124,4,101,"MANYBERRIES",1,-49.2612700,-110.6907900,38,11,0,1,1
318,124,4,102,"SHERBOURNE L",1,-49.5822900,-111.6978900,38,11,0,1,1
319,124,4,103,"HORSEFLY LK.",1,-49.6113400,-112.1495000,38,11,0,1,1
